ID;Heatpump;Electric_Vehicle;PV_Installation;Category
94;0;0;0;NONE
95;0;0;0;NONE
96;0;0;1;Only_PV
97;0;0;0;NONE
98;0;1;1;EV+PV
99;0;0;1;Only_PV
100;0;0;1;Only_PV
101;0;0;0;NONE
102;0;0;1;Only_PV
103;1;0;1;PV+HP
104;0;0;0;NONE
105;0;0;0;NONE
106;0;0;0;NONE
107;0;0;0;NONE
108;0;0;0;NONE
109;0;1;1;EV+PV
110;0;1;1;EV+PV
111;0;0;1;Only_PV
112;0;1;0;EV_NoPV
113;1;0;1;PV+HP
114;0;0;0;NONE
115;0;1;0;EV_NoPV
116;1;0;1;PV+HP
117;0;1;1;EV+PV
118;0;1;1;EV+PV
119;0;0;0;NONE
120;0;0;0;NONE
121;0;0;0;NONE
122;0;0;1;Only_PV
123;0;0;1;Only_PV
124;0;1;0;EV_NoPV
125;1;0;1;PV+HP
126;0;0;0;NONE
127;0;0;0;NONE
128;0;0;0;NONE
129;0;1;0;EV_NoPV
130;1;0;1;PV+HP
131;0;1;0;EV_NoPV
132;0;0;1;Only_PV
133;0;1;1;EV+PV
134;0;0;1;Only_PV
135;0;0;0;NONE
136;0;0;1;Only_PV
137;0;0;0;NONE
138;0;0;0;NONE
139;0;0;1;Only_PV
140;0;0;0;NONE
141;0;0;0;NONE
142;0;1;1;EV+PV
143;1;0;1;PV+HP
144;0;1;0;EV_NoPV
145;0;0;0;NONE
146;0;0;0;NONE
147;0;0;0;NONE
148;0;0;0;NONE
149;0;1;1;EV+PV
150;1;0;1;PV+HP
151;0;0;0;NONE
152;0;0;1;Only_PV
153;0;1;0;EV_NoPV
154;0;0;1;Only_PV
155;0;0;0;NONE
156;0;0;0;NONE
157;0;0;0;NONE
158;0;0;0;NONE
159;0;0;0;NONE
160;0;0;0;NONE
161;0;0;0;NONE
162;0;0;0;NONE
163;0;1;0;EV_NoPV
164;0;0;1;Only_PV
165;0;0;0;NONE
166;0;1;1;EV+PV
167;1;0;1;PV+HP
168;0;0;0;NONE
169;0;1;1;EV+PV
170;0;0;0;NONE
171;0;0;1;Only_PV
172;0;0;0;NONE
173;0;0;0;NONE
174;1;0;1;PV+HP
175;0;0;0;NONE
176;0;0;1;Only_PV
177;0;1;0;EV_NoPV
178;1;0;1;PV+HP
179;1;0;1;PV+HP
180;0;1;0;EV_NoPV
181;0;1;0;EV_NoPV
182;0;1;1;EV+PV
183;0;0;0;NONE
184;0;1;1;EV+PV
185;1;0;1;PV+HP
186;0;0;0;NONE
187;0;0;0;NONE
188;0;0;1;Only_PV
189;0;0;0;NONE
190;0;1;1;EV+PV
191;0;0;0;NONE
192;0;0;1;Only_PV
193;0;0;0;NONE
194;1;0;1;PV+HP
195;0;0;0;NONE
196;0;0;0;NONE
197;0;1;0;EV_NoPV
198;0;0;0;NONE
199;0;0;1;Only_PV
200;0;0;0;NONE
201;0;1;1;EV+PV
202;0;0;1;Only_PV
203;0;0;0;NONE
204;0;0;1;Only_PV
205;1;0;1;PV+HP
206;0;0;0;NONE
207;0;0;0;NONE
208;0;1;0;EV_NoPV
209;0;1;1;EV+PV
210;0;1;1;EV+PV
211;0;0;0;NONE
212;0;0;0;NONE
213;0;1;1;EV+PV
214;0;0;0;NONE
215;0;1;1;EV+PV
216;0;1;1;EV+PV
217;0;0;1;Only_PV
218;0;0;0;NONE
219;0;0;0;NONE
220;0;0;1;Only_PV
221;0;1;0;EV_NoPV
222;0;0;1;Only_PV
223;0;0;1;Only_PV
224;0;0;0;NONE
225;0;0;0;NONE
226;0;0;0;NONE
227;0;0;0;NONE
228;0;0;0;NONE
229;0;0;0;NONE
230;0;0;0;NONE
231;0;0;0;NONE
232;1;0;1;PV+HP
233;1;0;1;PV+HP
234;0;0;0;NONE
235;0;0;1;Only_PV
236;0;1;1;EV+PV
237;0;0;1;Only_PV
238;0;1;0;EV_NoPV
239;0;0;0;NONE
240;1;0;1;PV+HP
241;0;1;1;EV+PV
242;0;0;0;NONE
243;1;0;1;PV+HP
244;1;0;1;PV+HP
245;0;1;1;EV+PV
246;0;0;0;NONE
247;0;1;0;EV_NoPV
248;0;0;0;NONE
249;0;1;0;EV_NoPV
250;0;0;0;NONE
251;0;0;1;Only_PV
252;0;1;0;EV_NoPV
253;0;1;0;EV_NoPV
254;1;0;1;PV+HP
255;0;1;0;EV_NoPV
256;0;1;0;EV_NoPV
257;0;0;0;NONE
258;0;1;1;EV+PV
259;0;0;1;Only_PV
260;0;0;1;Only_PV
261;0;0;1;Only_PV
262;0;1;1;EV+PV
263;0;0;1;Only_PV
264;0;0;0;NONE
265;0;0;1;Only_PV
266;0;1;1;EV+PV
267;0;0;0;NONE
268;0;1;1;EV+PV
269;0;0;0;NONE
270;0;0;0;NONE
271;0;0;1;Only_PV
272;0;0;0;NONE
273;0;0;1;Only_PV
274;0;1;1;EV+PV
275;0;0;0;NONE
276;0;0;0;NONE
277;0;1;0;EV_NoPV
278;0;0;1;Only_PV
279;0;0;0;NONE
280;0;1;1;EV+PV
281;0;0;0;NONE
282;0;1;1;EV+PV
283;0;0;0;NONE
284;0;0;0;NONE
285;0;0;1;Only_PV
286;0;1;1;EV+PV
287;1;0;1;PV+HP
288;0;0;1;Only_PV
289;0;0;0;NONE
290;0;0;0;NONE
291;0;0;0;NONE
292;0;0;0;NONE
293;0;1;0;EV_NoPV
294;0;0;0;NONE
295;0;1;1;EV+PV
296;0;0;0;NONE
297;1;0;1;PV+HP
298;0;1;0;EV_NoPV
299;0;0;1;Only_PV
300;1;0;1;PV+HP
301;0;0;0;NONE
302;0;1;1;EV+PV
303;1;0;1;PV+HP
304;0;0;1;Only_PV
305;0;0;1;Only_PV
306;0;0;0;NONE
307;0;0;1;Only_PV
308;0;0;0;NONE
309;0;0;0;NONE
310;0;0;0;NONE
311;0;0;0;NONE
312;0;0;0;NONE
313;1;0;1;PV+HP
314;0;0;1;Only_PV
315;0;1;1;EV+PV
316;0;0;0;NONE
317;1;0;1;PV+HP
318;0;1;1;EV+PV
319;0;1;0;EV_NoPV
320;0;0;0;NONE
321;0;0;0;NONE
322;0;1;1;EV+PV
323;1;0;1;PV+HP
324;0;0;0;NONE
325;0;0;1;Only_PV
326;0;0;1;Only_PV
327;0;1;0;EV_NoPV
328;0;0;0;NONE
329;0;0;0;NONE
330;0;1;1;EV+PV
331;0;0;0;NONE
332;1;0;1;PV+HP
333;1;0;1;PV+HP
334;0;1;1;EV+PV
335;0;0;0;NONE
336;0;1;0;EV_NoPV
337;0;0;0;NONE
338;0;0;1;Only_PV
339;0;1;1;EV+PV
340;0;1;1;EV+PV
341;0;0;1;Only_PV
342;0;0;1;Only_PV
343;0;1;1;EV+PV
344;0;0;1;Only_PV
345;0;0;1;Only_PV
346;0;0;1;Only_PV
347;0;1;1;EV+PV
348;0;0;0;NONE
349;0;0;1;Only_PV
350;0;0;1;Only_PV
351;0;1;0;EV_NoPV
352;0;0;1;Only_PV
353;0;1;1;EV+PV
354;1;0;1;PV+HP
355;1;0;1;PV+HP
356;0;0;1;Only_PV
357;1;0;1;PV+HP
358;0;0;1;Only_PV
359;0;1;0;EV_NoPV
360;0;1;0;EV_NoPV
361;0;1;1;EV+PV
362;0;0;1;Only_PV
363;1;0;1;PV+HP
364;0;0;0;NONE
365;0;0;1;Only_PV
366;0;1;1;EV+PV
367;0;0;1;Only_PV
368;1;0;1;PV+HP
369;0;0;0;NONE
370;0;0;0;NONE
371;0;0;0;NONE
372;0;1;0;EV_NoPV
373;0;1;0;EV_NoPV
374;0;1;1;EV+PV
375;0;1;1;EV+PV
376;0;1;1;EV+PV
377;0;1;1;EV+PV
378;0;0;1;Only_PV
379;0;1;0;EV_NoPV
380;1;0;1;PV+HP
381;0;1;1;EV+PV
382;0;1;1;EV+PV
383;0;0;0;NONE
384;0;0;1;Only_PV
385;0;1;1;EV+PV
386;0;0;0;NONE
387;1;0;1;PV+HP
388;0;0;0;NONE
389;1;0;1;PV+HP
390;0;0;0;NONE
391;0;1;0;EV_NoPV
392;0;0;1;Only_PV
393;0;1;1;EV+PV
394;0;1;0;EV_NoPV
395;0;0;0;NONE
396;0;0;1;Only_PV
397;0;1;1;EV+PV
398;1;0;1;PV+HP
399;0;0;1;Only_PV
400;0;0;1;Only_PV
401;0;0;1;Only_PV
402;0;1;1;EV+PV
403;0;0;1;Only_PV
404;0;1;1;EV+PV
405;0;1;1;EV+PV
406;0;1;1;EV+PV
407;0;1;1;EV+PV
408;1;0;1;PV+HP
409;0;0;0;NONE
410;0;0;1;Only_PV
411;0;1;1;EV+PV
412;0;0;0;NONE
413;0;0;0;NONE
414;0;0;0;NONE
415;0;0;0;NONE
416;0;0;0;NONE
417;0;0;0;NONE
418;1;0;1;PV+HP
419;0;0;0;NONE
420;0;0;1;Only_PV
421;0;0;1;Only_PV
422;0;0;0;NONE
423;0;0;0;NONE
424;0;1;1;EV+PV
425;0;0;1;Only_PV
426;0;1;0;EV_NoPV
427;0;1;1;EV+PV
428;0;0;0;NONE
429;0;0;1;Only_PV
430;0;1;1;EV+PV
431;0;0;0;NONE
432;0;0;1;Only_PV
433;0;0;0;NONE
434;0;0;1;Only_PV
435;0;0;1;Only_PV
436;1;0;1;PV+HP
437;0;1;1;EV+PV
438;1;0;1;PV+HP
439;0;1;0;EV_NoPV
440;0;0;1;Only_PV
441;0;0;0;NONE
442;0;0;1;Only_PV
443;0;0;0;NONE
444;0;1;1;EV+PV
445;1;0;1;PV+HP
446;0;0;0;NONE
447;0;0;0;NONE
448;1;0;1;PV+HP
449;0;1;1;EV+PV
450;0;0;0;NONE
451;1;0;1;PV+HP
452;1;0;1;PV+HP
453;0;0;0;NONE
454;0;0;0;NONE
455;1;0;1;PV+HP
456;0;0;0;NONE
457;0;1;0;EV_NoPV
458;0;0;0;NONE
459;0;0;0;NONE
460;0;0;0;NONE
461;0;0;1;Only_PV
462;0;0;1;Only_PV
463;0;1;1;EV+PV
464;0;0;0;NONE
465;0;1;1;EV+PV
466;0;0;0;NONE
467;0;0;0;NONE
468;0;0;0;NONE
469;0;0;1;Only_PV
470;0;0;1;Only_PV
471;0;0;1;Only_PV
472;0;0;0;NONE
473;0;0;0;NONE
474;0;0;0;NONE
475;0;1;1;EV+PV
476;0;1;0;EV_NoPV
477;0;0;1;Only_PV
478;0;0;0;NONE
479;0;0;0;NONE
480;0;0;1;Only_PV
481;0;0;1;Only_PV
482;0;1;1;EV+PV
483;0;1;0;EV_NoPV
484;0;0;0;NONE
485;0;0;0;NONE
486;0;1;1;EV+PV
487;0;0;1;Only_PV
488;0;1;1;EV+PV
489;0;1;0;EV_NoPV
490;0;0;1;Only_PV
491;0;0;0;NONE
492;0;1;0;EV_NoPV
493;0;0;1;Only_PV
494;0;1;1;EV+PV
495;0;0;0;NONE
496;0;1;0;EV_NoPV
497;0;0;1;Only_PV
498;0;0;0;NONE
499;0;0;1;Only_PV
500;0;1;1;EV+PV
501;0;0;0;NONE
502;0;0;1;Only_PV
503;0;0;1;Only_PV
504;0;1;1;EV+PV
505;0;0;0;NONE
506;0;0;0;NONE
507;0;0;0;NONE
508;0;0;0;NONE
509;0;0;0;NONE
510;0;1;1;EV+PV
511;0;0;1;Only_PV
512;0;1;1;EV+PV
513;0;0;1;Only_PV
514;0;1;1;EV+PV
515;0;0;1;Only_PV
516;0;0;1;Only_PV
517;1;0;1;PV+HP
518;0;0;0;NONE
519;0;1;0;EV_NoPV
520;0;0;0;NONE
521;0;1;1;EV+PV
522;0;1;0;EV_NoPV
523;0;0;1;Only_PV
524;0;0;1;Only_PV
525;0;0;1;Only_PV
526;0;0;1;Only_PV
527;0;0;0;NONE
528;0;0;1;Only_PV
529;0;0;0;NONE
530;0;0;1;Only_PV
531;0;1;1;EV+PV
532;0;0;0;NONE
533;0;1;1;EV+PV
534;0;1;1;EV+PV
535;0;1;1;EV+PV
536;1;0;1;PV+HP
537;0;1;0;EV_NoPV
538;0;1;1;EV+PV
539;0;1;1;EV+PV
540;0;0;0;NONE
541;0;1;1;EV+PV
542;0;0;1;Only_PV
543;0;1;1;EV+PV
544;0;0;0;NONE
545;0;0;1;Only_PV
546;0;1;1;EV+PV
547;0;0;1;Only_PV
548;0;0;1;Only_PV
549;0;0;0;NONE
550;0;1;0;EV_NoPV
551;0;1;0;EV_NoPV
552;0;0;1;Only_PV
553;0;0;1;Only_PV
554;0;1;1;EV+PV
555;0;0;1;Only_PV
556;0;0;1;Only_PV
557;1;0;1;PV+HP
558;0;1;0;EV_NoPV
559;0;1;1;EV+PV
560;0;1;1;EV+PV
561;0;0;0;NONE
562;0;1;0;EV_NoPV
563;0;1;0;EV_NoPV
564;0;1;0;EV_NoPV
565;0;0;1;Only_PV
566;0;0;0;NONE
567;0;0;0;NONE
568;0;1;1;EV+PV
569;1;0;1;PV+HP
570;0;0;0;NONE
571;0;1;1;EV+PV
572;0;1;1;EV+PV
573;0;1;1;EV+PV
574;1;0;1;PV+HP
575;0;0;0;NONE
576;0;1;1;EV+PV
577;0;0;1;Only_PV
578;0;1;1;EV+PV
579;0;0;0;NONE
580;0;0;0;NONE
581;0;0;0;NONE
582;0;0;1;Only_PV
583;0;1;1;EV+PV
584;0;0;0;NONE
585;0;1;1;EV+PV
586;0;1;1;EV+PV
587;0;0;1;Only_PV
588;0;0;1;Only_PV
589;0;0;0;NONE
590;0;0;1;Only_PV
591;0;1;1;EV+PV
592;0;1;1;EV+PV
593;0;1;1;EV+PV
594;0;0;1;Only_PV
595;0;0;0;NONE
596;0;1;0;EV_NoPV
597;0;1;1;EV+PV
598;0;0;0;NONE
599;0;1;1;EV+PV
600;0;1;1;EV+PV
601;0;0;0;NONE
602;0;1;1;EV+PV
603;0;1;1;EV+PV
604;0;1;1;EV+PV
605;0;1;1;EV+PV
606;0;0;1;Only_PV
607;0;0;1;Only_PV
608;0;1;0;EV_NoPV
609;1;0;1;PV+HP
610;0;1;1;EV+PV
611;0;0;0;NONE
612;0;0;0;NONE
613;0;0;1;Only_PV
614;0;1;1;EV+PV
615;0;1;1;EV+PV
616;0;0;1;Only_PV
617;0;1;1;EV+PV
618;0;0;0;NONE
619;0;1;0;EV_NoPV
620;1;0;1;PV+HP
621;0;1;0;EV_NoPV
622;0;1;0;EV_NoPV
623;0;1;1;EV+PV
624;0;0;0;NONE
625;0;1;1;EV+PV
626;0;0;1;Only_PV
627;1;0;1;PV+HP
628;0;1;1;EV+PV
629;0;0;1;Only_PV
630;1;0;1;PV+HP
631;0;1;1;EV+PV
632;0;1;0;EV_NoPV
633;0;1;1;EV+PV
634;1;0;1;PV+HP
635;0;0;1;Only_PV
636;1;0;1;PV+HP
637;0;0;1;Only_PV
638;0;1;1;EV+PV
639;0;1;0;EV_NoPV
640;0;1;1;EV+PV
641;0;1;1;EV+PV
642;0;1;1;EV+PV
643;0;0;1;Only_PV
644;0;1;0;EV_NoPV
645;0;0;0;NONE
646;0;1;1;EV+PV
647;0;1;1;EV+PV
648;1;0;1;PV+HP
649;0;1;1;EV+PV
650;0;0;0;NONE
651;1;0;1;PV+HP
652;1;0;1;PV+HP
653;0;0;0;NONE
654;1;0;1;PV+HP
655;0;1;1;EV+PV
656;1;0;1;PV+HP
657;1;0;1;PV+HP
658;1;0;1;PV+HP
659;0;1;1;EV+PV
660;1;0;1;PV+HP
661;0;0;0;NONE
662;0;1;1;EV+PV
663;0;0;1;Only_PV
664;0;0;1;Only_PV
665;0;0;1;Only_PV
666;0;0;1;Only_PV
667;1;0;1;PV+HP
668;1;0;1;PV+HP
669;0;0;1;Only_PV
670;0;0;1;Only_PV
671;1;0;1;PV+HP
672;1;0;1;PV+HP
673;0;0;1;Only_PV
674;0;0;1;Only_PV
675;0;1;1;EV+PV
676;1;0;1;PV+HP
677;0;1;1;EV+PV
678;0;1;1;EV+PV
679;0;0;1;Only_PV
680;0;0;0;NONE
681;1;0;1;PV+HP
682;1;0;1;PV+HP
683;1;0;1;PV+HP
684;0;0;0;NONE
685;1;0;1;PV+HP
686;1;0;1;PV+HP
687;0;1;1;EV+PV
688;1;0;1;PV+HP
689;1;0;1;PV+HP
690;1;0;1;PV+HP
691;1;0;1;PV+HP
692;1;0;1;PV+HP
693;1;0;1;PV+HP
694;1;0;1;PV+HP
695;1;0;1;PV+HP
696;0;1;1;EV+PV
697;0;1;1;EV+PV
698;1;0;1;PV+HP
699;0;0;0;NONE
700;0;1;1;EV+PV
701;1;0;1;PV+HP
702;0;1;1;EV+PV
703;0;0;1;Only_PV
704;1;0;1;PV+HP
705;0;1;1;EV+PV
706;0;1;1;EV+PV
707;0;0;0;NONE
708;1;0;1;PV+HP
709;0;0;1;Only_PV
710;0;1;1;EV+PV
711;0;0;1;Only_PV
712;1;0;1;PV+HP
713;1;0;1;PV+HP
714;1;0;1;PV+HP
715;0;0;1;Only_PV
716;0;1;0;EV_NoPV
717;0;1;1;EV+PV
718;1;0;1;PV+HP
719;1;0;1;PV+HP
720;0;1;1;EV+PV
721;1;0;1;PV+HP
722;0;0;1;Only_PV
723;0;0;1;Only_PV
724;1;0;1;PV+HP
725;1;0;1;PV+HP
726;1;0;1;PV+HP
727;0;0;1;Only_PV
728;1;0;1;PV+HP
729;1;0;1;PV+HP
730;0;0;1;Only_PV
731;0;1;1;EV+PV
732;1;0;1;PV+HP
733;1;0;1;PV+HP
734;0;1;1;EV+PV
735;1;0;1;PV+HP
736;1;0;1;PV+HP
737;1;0;1;PV+HP
738;0;0;1;Only_PV
739;1;0;1;PV+HP
740;1;0;1;PV+HP
741;0;0;0;NONE
742;1;0;1;PV+HP
743;0;1;0;EV_NoPV
744;1;0;1;PV+HP
745;0;1;1;EV+PV
746;1;0;1;PV+HP
747;1;0;1;PV+HP
748;0;0;1;Only_PV
749;1;0;1;PV+HP
750;1;0;1;PV+HP
751;1;0;1;PV+HP
752;1;0;1;PV+HP
753;0;1;1;EV+PV
754;1;0;1;PV+HP
755;0;1;1;EV+PV
756;1;0;1;PV+HP
757;0;0;1;Only_PV
758;1;0;1;PV+HP
759;1;0;1;PV+HP
760;0;1;0;EV_NoPV
761;0;1;1;EV+PV
762;1;0;1;PV+HP
763;0;0;0;NONE
764;1;0;1;PV+HP
765;1;0;1;PV+HP
766;0;1;0;EV_NoPV
767;1;0;1;PV+HP
768;1;0;1;PV+HP
769;0;1;1;EV+PV
770;0;0;0;NONE
771;1;0;1;PV+HP
772;0;0;0;NONE
773;1;0;1;PV+HP
774;0;0;0;NONE
775;0;1;1;EV+PV
776;1;0;1;PV+HP
777;1;0;1;PV+HP
778;1;0;1;PV+HP
779;0;1;0;EV_NoPV
780;1;0;1;PV+HP
781;1;0;1;PV+HP
782;1;0;1;PV+HP
783;1;0;1;PV+HP
784;0;1;1;EV+PV
785;0;0;1;Only_PV
786;0;1;1;EV+PV
787;1;0;1;PV+HP
788;0;0;1;Only_PV
789;1;0;1;PV+HP
790;1;0;1;PV+HP
791;0;0;0;NONE
792;0;1;0;EV_NoPV
793;1;0;1;PV+HP
794;1;0;1;PV+HP
795;1;0;1;PV+HP
796;1;0;1;PV+HP
797;1;0;1;PV+HP
798;1;0;1;PV+HP
799;1;0;1;PV+HP
800;0;1;1;EV+PV
801;0;1;1;EV+PV
802;0;1;0;EV_NoPV
803;1;0;1;PV+HP
804;0;0;1;Only_PV
805;1;0;1;PV+HP
806;0;0;1;Only_PV
807;1;0;1;PV+HP
808;1;0;1;PV+HP
809;1;0;1;PV+HP
810;1;0;1;PV+HP
811;1;0;1;PV+HP
812;0;1;1;EV+PV
813;0;0;1;Only_PV
814;0;0;1;Only_PV
815;0;0;1;Only_PV
816;0;1;1;EV+PV
817;1;0;1;PV+HP
818;1;0;1;PV+HP
819;0;1;1;EV+PV
820;1;0;1;PV+HP
821;0;1;1;EV+PV
822;1;0;1;PV+HP
823;1;0;1;PV+HP
824;1;0;1;PV+HP
825;1;0;1;PV+HP
826;1;0;1;PV+HP
827;1;0;1;PV+HP
828;0;0;0;NONE
829;1;0;1;PV+HP
830;0;1;1;EV+PV
831;0;1;1;EV+PV
832;1;0;1;PV+HP
833;1;0;1;PV+HP
834;0;1;1;EV+PV
835;0;0;1;Only_PV
836;0;1;1;EV+PV
837;0;1;1;EV+PV
838;0;1;1;EV+PV
839;1;0;1;PV+HP
840;1;0;1;PV+HP
841;1;0;1;PV+HP
842;0;0;0;NONE
843;0;0;1;Only_PV
844;1;0;1;PV+HP
845;1;0;1;PV+HP
846;1;0;1;PV+HP
847;0;1;0;EV_NoPV
848;0;1;0;EV_NoPV
849;1;0;1;PV+HP
850;1;0;1;PV+HP
851;0;0;1;Only_PV
852;0;1;0;EV_NoPV
853;1;0;1;PV+HP
854;1;0;1;PV+HP
855;0;0;1;Only_PV
856;1;0;1;PV+HP
857;0;0;1;Only_PV
858;1;0;1;PV+HP
859;0;0;1;Only_PV
860;1;0;1;PV+HP
861;0;0;0;NONE
862;1;0;1;PV+HP
863;0;1;1;EV+PV
864;0;0;1;Only_PV
865;0;1;1;EV+PV
866;0;1;1;EV+PV
867;1;0;1;PV+HP
868;1;0;1;PV+HP
869;0;0;0;NONE
870;0;1;1;EV+PV
871;1;0;1;PV+HP
872;1;0;1;PV+HP
873;1;0;1;PV+HP
874;0;0;0;NONE
875;0;1;1;EV+PV
876;1;0;1;PV+HP
877;0;0;1;Only_PV
878;0;1;1;EV+PV
879;0;0;1;Only_PV
880;0;0;1;Only_PV
881;1;0;1;PV+HP
882;0;0;0;NONE
883;0;0;1;Only_PV
884;0;0;1;Only_PV
885;1;0;1;PV+HP
886;0;1;1;EV+PV
887;0;0;1;Only_PV
888;1;0;1;PV+HP
889;0;0;1;Only_PV
890;1;0;1;PV+HP
891;1;0;1;PV+HP
892;1;0;1;PV+HP
893;1;0;1;PV+HP
894;0;0;1;Only_PV
895;0;0;0;NONE
896;0;0;1;Only_PV
897;1;0;1;PV+HP
898;0;1;1;EV+PV
899;1;0;1;PV+HP
900;1;0;1;PV+HP
901;0;0;1;Only_PV
902;0;0;0;NONE
903;1;0;1;PV+HP
904;1;0;1;PV+HP
905;0;1;1;EV+PV
906;0;0;1;Only_PV
907;0;0;0;NONE
908;1;0;1;PV+HP
909;1;0;1;PV+HP
910;0;0;1;Only_PV
911;1;0;1;PV+HP
912;0;0;1;Only_PV
913;0;0;1;Only_PV
914;1;0;1;PV+HP
915;0;0;1;Only_PV
916;0;0;1;Only_PV
917;0;1;1;EV+PV
918;0;0;0;NONE
919;0;1;1;EV+PV
920;0;1;1;EV+PV
921;0;1;1;EV+PV
922;0;1;0;EV_NoPV
923;0;0;1;Only_PV
924;0;1;1;EV+PV
925;0;1;1;EV+PV
926;0;1;1;EV+PV
927;0;1;1;EV+PV
928;0;1;1;EV+PV
929;0;1;1;EV+PV
930;0;0;1;Only_PV
931;0;1;1;EV+PV
932;0;0;0;NONE
933;0;0;1;Only_PV
934;0;1;0;EV_NoPV
935;0;1;1;EV+PV
936;0;1;1;EV+PV
937;0;1;1;EV+PV
938;1;0;1;PV+HP
939;0;0;1;Only_PV
940;0;0;0;NONE
941;1;0;1;PV+HP
942;0;1;1;EV+PV
943;0;1;1;EV+PV
944;0;0;1;Only_PV
945;0;0;1;Only_PV
946;0;0;1;Only_PV
947;0;0;1;Only_PV
948;0;0;1;Only_PV
949;0;1;1;EV+PV
950;0;1;1;EV+PV
951;1;0;1;PV+HP
952;0;0;1;Only_PV
953;0;0;1;Only_PV
954;0;0;1;Only_PV
955;0;0;1;Only_PV
956;0;0;0;NONE
957;0;0;0;NONE
958;0;0;1;Only_PV
959;0;0;1;Only_PV
960;1;0;1;PV+HP
961;0;0;0;NONE
962;0;0;0;NONE
963;0;0;0;NONE
964;0;0;1;Only_PV
965;1;0;1;PV+HP
966;0;0;1;Only_PV
967;0;0;1;Only_PV
968;0;1;0;EV_NoPV
969;0;0;1;Only_PV
970;0;0;1;Only_PV
971;0;0;1;Only_PV
972;0;1;1;EV+PV
973;0;1;1;EV+PV
974;0;1;1;EV+PV
975;0;0;1;Only_PV
976;0;0;1;Only_PV
977;0;0;1;Only_PV
978;0;0;1;Only_PV
979;0;0;1;Only_PV
980;0;0;1;Only_PV
981;0;1;1;EV+PV
982;0;0;1;Only_PV
983;0;1;1;EV+PV
984;0;0;0;NONE
985;0;0;1;Only_PV
986;0;0;1;Only_PV
987;0;1;1;EV+PV
988;1;0;1;PV+HP
989;0;0;1;Only_PV
990;0;1;1;EV+PV
991;0;1;1;EV+PV
992;0;0;1;Only_PV
993;0;0;0;NONE
994;1;0;1;PV+HP
995;0;1;1;EV+PV
996;0;0;1;Only_PV
997;0;0;1;Only_PV
998;0;0;1;Only_PV
999;0;1;1;EV+PV
1000;0;1;1;EV+PV
1001;0;1;1;EV+PV
1002;0;1;1;EV+PV
1003;1;0;1;PV+HP
1004;0;1;1;EV+PV
1005;1;0;1;PV+HP
1006;0;1;1;EV+PV
1007;0;1;1;EV+PV
1008;1;0;1;PV+HP
1009;0;1;1;EV+PV
1010;0;1;1;EV+PV
1011;1;0;1;PV+HP
1012;1;0;1;PV+HP
1013;0;1;1;EV+PV
1014;0;0;1;Only_PV
1015;0;1;1;EV+PV
1016;1;0;1;PV+HP
1017;0;1;1;EV+PV
1018;1;0;1;PV+HP
1019;0;1;1;EV+PV
